Name ,Organization 
Desiree Roberts ,Confederacy of Mainland Mi'kmaw (CMM)
Lucas Amiro ,CMM 
Riley MacLeod  ,CMM 
Will Richards ,CMM 
Fielding Montgomery ,Canadian Wildlife Federation (CWF)
Nick Mazany-Wright? ,CWF
Nicolas Lapointe? ,CWF
Courtney Brake? ,CWF
