Barrier ID ,Site Name ,Structure Owner ,Structure Type ,Passability Status ,Number of Structures in Set,Habitat Gain (km),Habitat Gain (km),Next Steps 
7df79d64-77e8-42a6-af8c-f7ae4cbd5e9f,Lower St. Croix - hydroelectric facility,Industry,Dam,0,3,3.095675345,3.111559482,Bring barrier to regulator
93c5a3a7-bb1c-462f-bf11-8b28f1083ea8,St. Croix hydroelectric facility,Industry,Dam,0,3,2.251267818,2.512887152,Bring barrier to regulator
4c4d6443-ba54-46dc-bf2c-51922ccb62cc,Upper St. Croix/Salmon Hole Dam - hydroelectric facility,Industry,Dam,0,3,114.5898634,91.23231673,Bring barrier to regulator
a90277b6-8708-43ef-a867-86827c4c698f,Bog Brook at Rail Line 2,Industry,Stream crossing - CBS,0,1,8.465298564,4.457403565,Engage with barrier owner
753ad5c4-da00-40d1-9cc9-fbc6cbdade4c,Nix Brook at Unnamed Logging Road,Private,Stream crossing - CBS,0,1,4.127479412,2.244666921,Identify barrier owner
02667d40-b792-43e6-94c0-74427481e12a,Herbert River at Trail,Unknown,Stream crossing - CBS,0,1,2.713974747,1.767542912,Identify barrier owner
77b3d637-21cb-4728-8548-11d5b02daf22,Meander River trib at S Rawdon Rd,Unknown,Stream crossing - CBS,0,1,4.506192197,2.420262331,Leave until end of lifecycle
e4939efd-23a2-4fa7-9622-e5877d9b323c,Shaw Brook at Avondale Rd,Unknown,Aboiteaux,0,2,3.116408286,1.891997551,Engage with partners
